ticker,cnpj,nome,segmento,classe,frac_imoveis
0EL311,43.790.197/0001-12,NOVO CAMPO FUNDO DE INVESTIMENTO IMOBILIÁRIO - F,Tijolo (outros),tijolo,2.0
0EMM11,17.655.122/0001-19,VANQUISH FUNDO DE INVESTIMENTO IMOBILIÁRO - FII,Tijolo (outros),tijolo,1.62
0EPD11,43.565.147/0001-31,REAL ESTATE TRANCOSO II FII - CLASSE A,Tijolo (outros),tijolo,1.78
0EZ011,31.907.591/0001-09,SBC FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,2.01
0FFP11,50.479.122/0001-80,BTGP LOGCP FII,Logística,tijolo,2.07
0FG811,50.255.690/0001-06,DEMETER FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAI,Tijolo (outros),tijolo,0.93
0FJE11,23.426.470/0001-17,FII TRIPLE A ORDINARIA,Tijolo (outros),tijolo,2.09
0FLV11,50.117.874/0001-00,ALDEOTA RENDA IMOBILIÁRIA FII - FII,Tijolo (outros),tijolo,2.02
0FMU11,41.820.693/0001-46,FLORIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.96
0G0411,51.067.062/0001-51,HOP FUNDO DE INVESTIMENTO IMOBILIARIO,Tijolo (outros),tijolo,2.75
0H8W11,49.893.516/0001-00,CL GUARULHOS II - FUNDO DE INVESTIMENTO IMOBILIA,Tijolo (outros),tijolo,0.88
0HA511,43.951.970/0001-85,PDC II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,3.41
0HNK11,53.076.746/0001-45,EXITUS PLUS  FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,0.81
0HRP11,53.251.006/0001-06,NAVI RESIDENCIAL PRIME OPP FII - CASCA,Tijolo (outros),tijolo,1.78
0HWC11,52.366.833/0001-74,CODEMAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,0.89
0IS611,54.386.365/0001-25,PLAZA IGUATEMI - FUNDO DE INVESTIMENTO IMOBILIAR,Tijolo (outros),tijolo,1.99
0IUP11,53.294.592/0001-68,JHSF PONTA NEGRA,Tijolo (outros),tijolo,2.0
0IWO11,41.978.140/0001-16,VBI RENDA PREFERENCIAL FII,Tijolo (outros),tijolo,0.91
0J6F11,53.191.611/0001-20,TERRAZ FII,Tijolo (outros),tijolo,1.15
0J9O11,54.250.610/0001-72,ELOHIM FDO INVEST IMOB,Tijolo (outros),tijolo,0.98
0JS311,44.669.674/0001-59,FII TAG OCEANUS,Tijolo (outros),tijolo,1.88
0JVP11,43.671.250/0001-66,LAGUNA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Tijolo (outros),tijolo,0.82
0KO811,55.729.232/0001-77,RIZA KALITHEA FII RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,3.28
0KSL11,50.918.320/0001-01,FII PIEMONTESE,Tijolo (outros),tijolo,2.0
0L2U11,37.950.819/0001-20,CONTE BIANCAMANO FII,Tijolo (outros),tijolo,2.0
0LC411,55.969.466/0001-91,SUNXITT FII DE RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,0.92
0LM611,38.293.862/0001-22,ALIANZA DIGITAL FII,Tijolo (outros),tijolo,3.22
0LMF11,54.557.596/0001-54,BM FII,Tijolo (outros),tijolo,3.84
0LNI11,52.353.292/0001-40,BTG RE STRUCT FII RL,Tijolo (outros),tijolo,2.7
0LNR11,53.309.565/0001-11,CROMOSSOMO FII,Tijolo (outros),tijolo,1.99
0LO511,40.414.001/0001-05,FLAMENGO FII RESP LTDA,Tijolo (outros),tijolo,2.65
0LPD11,56.524.816/0001-79,MASH EMPREENDIMENTOS FII RESPONSABILIDADE LIMITA,Tijolo (outros),tijolo,2.01
0LT811,30.178.506/0001-56,FUNDO DE INVESTIMENTO IMOBILIÁRIO F2ZZ,Tijolo (outros),tijolo,1.89
0LTE11,37.931.298/0001-63,PETTRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,2.17
0LU911,57.216.258/0001-47,BGR B32 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,3.43
0LVD11,52.241.939/0001-41,FII OUTLET SANTA MARIA,Tijolo (outros),tijolo,1.96
0M3911,57.300.503/0001-08,ANNECY 59 FII,Tijolo (outros),tijolo,3.51
0M5K11,57.593.613/0001-05,RIZA EQUITUS FII,Tijolo (outros),tijolo,2.17
0MCA11,57.583.846/0001-19,AZ QST PANORAMA FII,Tijolo (outros),hibrido,0.3
0MIG11,57.965.466/0001-49,WHG SP REALTY II FUNDO DE INVESTIMENTO IMOBILIÁR,Tijolo (outros),hibrido,0.46
0MPR11,51.889.479/0001-08,FLORESTA FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.39
0MST11,58.316.418/0001-92,BRASOL IMOB S FII,Tijolo (outros),tijolo,0.58
0MXG11,58.549.748/0001-28,ORIZ RAIZ II,Tijolo (outros),tijolo,0.99
