cd_cvm,nome,denom_social,denom_comerc,setor,setor_cvm,categ_reg,tp_merc,sit_emissor,sit_cvm,gov_listagem_default,cnpj,ticker_b3,controle_acionario,mun,uf,dt_const,dt_reg,auditor
22608,PAGUE MENOS,EMPREENDIMENTOS PAGUE MENOS SA,EMPREENDIMENTOS PAGUE MENOS SA,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,06.626.253/0001-51,PGMN3,PRIVADO,FORTALEZA,CE,1981,2011,KPMG AUDITORES INDEPENDENTES LTDA.
94,PANATLANTICA,PANATLANTICA SA,PANATLANTICA,Materiais,Metalurgia e Siderurgia,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,92.693.019/0001-89,PATI4,PRIVADO,GRAVATAÍ,RS,1967,1971,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
9342,PANVEL,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMÁCIAS,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,92.665.611/0001-77,PNVL3,PRIVADO,ELDORADO DO SUL,RS,1936,1977,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
9393,PARANAPANEMA,PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL,PARANAPANEMA S.A.,Materiais,Metalurgia e Siderurgia,Categoria A,BOLSA,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,ATIVO,3.0,60.398.369/0004-79,PMAM3,PRIVADO,DIAS D'ÁVILA,BA,1977,1977,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
27448,PARSAN,PARSAN S.A.,PARSAN S.A.,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,,FASE OPERACIONAL,ATIVO,2.0,44.854.238/0001-50,,PRIVADO,SÃO PAULO,SP,2021,2024,KPMG AUDITORES INDEPENDENTES LTDA.
25305,PATRIMAR ENGENHARIA,PATRIMAR ENGENHARIA S.A.,,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,,FASE OPERACIONAL,ATIVO,2.0,23.236.821/0001-27,,PRIVADO,BELO HORIZONTE,MG,1968,2020,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
20478,PDG REALTY EMPREENDIMENTOS E PARTS,PDG REALTY S.A. EMPREEND E PARTICIPACOES,PDG REALTY SA EMPREENDIMENTOS E PARTS,Imobiliario,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,02.950.811/0001-89,PDGR3,PRIVADO,SÃO PAULO,SP,2003,2007,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
2100,PENALTY,CAMBUCI SA,PENALTY,Consumo Disc.,Têxtil e Vestuário,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,61.088.894/0001-08,PENL3,PRIVADO,SÃO ROQUE,SP,1945,1985,MACSO LEGATE AUDITORES INDEPENDENTES
25089,PET CENTER COMÉRCIO E PARTICIPAÇÕES,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,FASE OPERACIONAL,CANCELADA,3.0,18.328.118/0001-09,,PRIVADO,SÃO PAULO,SP,2013,2020,KPMG AUDITORES INDEPENDENTES LTDA.
9512,PETROBRAS,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,PETROBRAS,Energia,Petróleo e Gás,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,33.000.167/0001-01,PETR4,ESTATAL HOLDING,RIO DE JANEIRO,RJ,1953,1977,KPMG AUDITORES INDEPENDENTES LTDA.
